_id,Date & Time,Category,Location
65c9a443da14d7fbdcea73e9,24-02-12 10:23:22,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/77.jpg
65c9a443da14d7fbdcea73eb,24-02-12 10:23:23,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/78.jpg
65c9a443da14d7fbdcea73ed,24-02-12 10:23:23,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/79.jpg
65c9a443da14d7fbdcea73ef,24-02-12 10:23:23,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/80.jpg
65c9a444da14d7fbdcea73f1,24-02-12 10:23:23,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/81.jpg
65c9a444da14d7fbdcea73f3,24-02-12 10:23:24,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/82.jpg
65c9a444da14d7fbdcea73f5,24-02-12 10:23:24,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/83.jpg
65c9a444da14d7fbdcea73f7,24-02-12 10:23:24,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/84.jpg
65c9a444da14d7fbdcea73f9,24-02-12 10:23:24,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/85.jpg
65c9a445da14d7fbdcea73fb,24-02-12 10:23:25,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/86.jpg
65c9a445da14d7fbdcea73fd,24-02-12 10:23:25,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/87.jpg
65c9a445da14d7fbdcea73ff,24-02-12 10:23:25,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/88.jpg
65c9a445da14d7fbdcea7401,24-02-12 10:23:25,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/89.jpg
65c9a446da14d7fbdcea7403,24-02-12 10:23:26,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/90.jpg
65c9a446da14d7fbdcea7405,24-02-12 10:23:26,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/91.jpg
65c9a446da14d7fbdcea7407,24-02-12 10:23:26,car,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/92.jpg
65c9a447da14d7fbdcea7409,24-02-12 10:23:27,motorcycle,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/93.jpg
65c9a448da14d7fbdcea740b,24-02-12 10:23:28,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/94.jpg
65c9a448da14d7fbdcea740d,24-02-12 10:23:28,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/95.jpg
65c9a448da14d7fbdcea740f,24-02-12 10:23:28,motorcycle,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/96.jpg
65c9a449da14d7fbdcea7411,24-02-12 10:23:29,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/97.jpg
65c9a449da14d7fbdcea7413,24-02-12 10:23:29,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/98.jpg
65c9a467da14d7fbdcea7415,24-02-12 10:23:59,motorcycle,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/99.jpg
65c9a468da14d7fbdcea7417,24-02-12 10:24:00,bus,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/100.jpg
65c9a468da14d7fbdcea7419,24-02-12 10:24:00,motorcycle,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/101.jpg
65c9a472da14d7fbdcea741b,24-02-12 10:24:10,truck,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/102.jpg
65c9a472da14d7fbdcea741d,24-02-12 10:24:10,bus,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/103.jpg
65c9a473da14d7fbdcea741f,24-02-12 10:24:11,motorcycle,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/104.jpg
65c9a473da14d7fbdcea7421,24-02-12 10:24:11,motorcycle,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/105.jpg
65c9a474da14d7fbdcea7423,24-02-12 10:24:12,truck,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/106.jpg
65c9a474da14d7fbdcea7425,24-02-12 10:24:12,truck,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/107.jpg
65c9a474da14d7fbdcea7427,24-02-12 10:24:12,truck,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/108.jpg
